name,description,price,stock,category,image
iPhone 15,Apple smartphone 128GB,79999,50,Mobiles,
Samsung Galaxy S23,Flagship Android phone,,40,Mobiles,
Redmi Note 13,Mid range smartphone,18999,120,Mobiles,
MacBook Air M2,Apple laptop 13 inch,114999,15,Laptops,
Dell Inspiron 15,Windows laptop i5,,25,Laptops,
HP Pavilion,HP laptop Ryzen 5,62999,20,Laptops,
Sony Bravia 55,Smart LED TV 55 inch,55999,18,Electronics,
Whirlpool Refrigerator,Double door fridge,,27,Home Appliances,
Bluetooth Speaker,Portable speaker,2999,200,Accessories,
Wireless Earbuds,Noise cancelling earbuds,4999,150,Accessories,
Apple Watch Series 9,Smart watch GPS,41999,35,Wearables,
Samsung Galaxy Watch,Android smart watch,28999,45,Wearables,
Nike Running Shoes,Men sports shoes,5999,80,Footwear,
Adidas Sneakers,Casual sneakers,5499,90,Footwear,
Puma Sports Shoes,Training shoes,4899,70,Footwear,
Canon EOS 1500D,DSLR Camera,38999,25,Cameras,
Nikon D5600,DSLR camera 24MP,56999,18,Cameras,
Tripod Stand,Camera tripod stand,1499,120,Cameras,
Power Bank 20000mAh,Fast charging power bank,1999,300,Accessories,
USB Type C Cable,Fast charging cable,499,500,Accessories,
Gaming Mouse,RGB gaming mouse,1999,150,Gaming,
Mechanical Keyboard,RGB keyboard,4499,85,Gaming,
Gaming Chair,Comfortable gaming chair,15999,20,Gaming,
PlayStation 5,Sony gaming console,54999,12,Gaming,
Xbox Series S,Microsoft console,34999,14,Gaming,
Smart LED Bulb,WiFi LED bulb,999,200,Smart Home,
Smart Plug,WiFi smart plug,1299,180,Smart Home,
Air Purifier,HEPA air purifier,17999,22,Home Appliances,
Microwave Oven,Convection microwave oven,12999,35,Home Appliances,
Induction Stove,Electric induction cooktop,2999,60,Kitchen,
Mixer Grinder,Kitchen mixer grinder,4999,40,Kitchen,
Electric Kettle,1.5L kettle,1999,75,Kitchen,
Water Bottle Stainless,1L steel bottle,899,150,Kitchen,
Backpack Laptop Bag,Waterproof backpack,2499,90,Bags,
Travel Trolley Bag,Medium size trolley,6999,30,Bags,
Handbag Women,Fashion handbag,3499,55,Bags,
Perfume Men,Long lasting perfume,2999,65,Beauty,
Face Cream,Moisturizing cream,799,110,Beauty,
Hair Dryer,Professional hair dryer,1899,45,Beauty,
Trimmer,Beard trimmer,1499,95,Personal Care,
Electric Toothbrush,Rechargeable toothbrush,2499,50,Personal Care,
Yoga Mat,Anti slip yoga mat,1299,85,Fitness,
Dumbbells Set,Home workout dumbbells,3999,40,Fitness,
Treadmill,Electric treadmill,45999,6,Fitness,
Office Chair,Ergonomic office chair,6999,100,Furniture,
Wooden Dining Table,6 seater dining table,24999,10,Furniture,
Sofa Set,3+1+1 sofa set,45999,8,Furniture,
Smartphone Stand,Adjustable mobile stand,,250,Accessories,
